user_id,churn_probability,risk_level,recommended_action,primary_reason
1.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
2.0,0.9994738628683831,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
3.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
4.0,0.9995592361682537,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
5.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
6.0,0.002425922746337098,HEALTHY,HEALTHY: No action required,days_since_last_active
7.0,0.06367384241656118,HEALTHY,HEALTHY: No action required,days_since_last_active
8.0,0.9994558817535685,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
9.0,0.004363811045123936,HEALTHY,HEALTHY: No action required,days_since_last_active
10.0,0.001398317710855519,HEALTHY,HEALTHY: No action required,days_since_last_active
11.0,0.9997379602781191,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
12.0,0.9994851963257063,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
13.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
14.0,0.9995066806233488,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
15.0,0.9994738628683831,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
16.0,0.0014110903260807022,HEALTHY,HEALTHY: No action required,days_since_last_active
17.0,0.9993472544395081,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
18.0,0.9992931108503881,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
19.0,0.9994558817535685,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
20.0,0.9994533960218177,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
21.0,0.9994722584227268,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
22.0,0.0009116235310116139,HEALTHY,HEALTHY: No action required,days_since_last_active
23.0,0.9993164672685737,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
24.0,0.9996383402026061,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
25.0,0.0015644069686547805,HEALTHY,HEALTHY: No action required,days_since_last_active
26.0,0.9996747773436521,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
27.0,0.9994558817535685,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
28.0,0.13938279304463974,HEALTHY,HEALTHY: No action required,days_since_last_active
29.0,0.002984080285479666,HEALTHY,HEALTHY: No action required,days_since_last_active
30.0,0.15943718313879784,HEALTHY,HEALTHY: No action required,days_since_last_active
31.0,0.9993078501864996,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
32.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
33.0,0.0017951938588661384,HEALTHY,HEALTHY: No action required,days_since_last_active
34.0,0.9994558817535685,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
35.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
36.0,0.9995132158548271,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
37.0,0.9994090835457061,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
38.0,0.9993884573654658,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
39.0,0.9996477725515441,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
40.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
41.0,0.9994851963257063,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
43.0,0.9993243429243487,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
44.0,0.004434355397805794,HEALTHY,HEALTHY: No action required,days_since_last_active
45.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
47.0,0.9994533960218177,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
49.0,0.9995750897544597,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
50.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
51.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
52.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
53.0,0.9994738628683831,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
54.0,0.004528129616659501,HEALTHY,HEALTHY: No action required,days_since_last_active
55.0,0.9994738628683831,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
56.0,0.0009176817615595144,HEALTHY,HEALTHY: No action required,days_since_last_active
57.0,0.001593039908723358,HEALTHY,HEALTHY: No action required,days_since_last_active
58.0,0.9996008762449987,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
59.0,0.5349981044563649,HEALTHY,HEALTHY: No action required,days_since_last_active
60.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
61.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
62.0,0.001214849016338073,HEALTHY,HEALTHY: No action required,days_since_last_active
63.0,0.0006752377675153412,HEALTHY,HEALTHY: No action required,days_since_last_active
64.0,0.9993721694173829,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
65.0,0.36004257908832993,HEALTHY,HEALTHY: No action required,days_since_last_active
66.0,0.0006185377315526525,HEALTHY,HEALTHY: No action required,days_since_last_active
67.0,0.9996181322325604,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
68.0,0.9995866089671559,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
69.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
70.0,0.004862695960265675,HEALTHY,HEALTHY: No action required,days_since_last_active
71.0,0.9994295962129583,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
72.0,0.9994558817535685,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
73.0,0.9995547390079466,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
74.0,0.0008645117852876453,HEALTHY,HEALTHY: No action required,days_since_last_active
75.0,0.0009063708653500552,HEALTHY,HEALTHY: No action required,days_since_last_active
76.0,0.9996186951674357,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
77.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
78.0,0.0020589295784699535,HEALTHY,HEALTHY: No action required,days_since_last_active
79.0,0.007865337497757838,HEALTHY,HEALTHY: No action required,days_since_last_active
81.0,0.9995592361682537,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
82.0,0.0009176817615595144,HEALTHY,HEALTHY: No action required,days_since_last_active
83.0,0.9994964536580973,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
84.0,0.9993249493130308,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
85.0,0.9994958166052451,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
86.0,0.9994738628683831,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
87.0,0.9995866089671559,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
88.0,0.003387456067870374,HEALTHY,HEALTHY: No action required,days_since_last_active
90.0,0.9997268794579847,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
91.0,0.9997268794579847,CRITICAL,CRITICAL: Send re-engagement email + push notification,days_since_last_active
