user_id,total_sessions,avg_session_duration,active_days,daily_activity_std,sessions_per_day,active_days_ratio,days_since_last_active,sessions_last_7d,sessions_prev_7d,session_trend_ratio,feature_entropy,unique_features_used
1,17,16.828836132042575,5,0.5477225575051662,0.38636363636363635,0.11363636363636363,36,0.0,17,0.0,1.5890269151739727,5
2,17,21.11299275925362,6,0.752772652709081,0.38636363636363635,0.13636363636363635,24,0.0,17,0.0,1.6726254461503207,6
3,9,16.72442701037839,3,1.0,0.20454545454545456,0.06818181818181818,34,0.0,9,0.0,1.0986122886681096,3
4,2,18.250341853237032,1,0.0,0.045454545454545456,0.022727272727272728,42,0.0,2,0.0,0.0,1
5,5,16.085543745534267,2,0.7071067811865476,0.11363636363636363,0.045454545454545456,39,0.0,5,0.0,1.0986122886681096,3
6,59,23.861612447912822,21,0.8728715609439694,1.3409090909090908,0.4772727272727273,0,11.0,48,0.22448979591836735,1.7461957313795615,6
7,31,22.918929159833556,11,0.7507571935295485,0.7045454545454546,0.25,0,5.0,26,0.18518518518518517,1.6922814607175372,6
8,4,32.71500536356284,1,0.0,0.09090909090909091,0.022727272727272728,41,0.0,4,0.0,0.6365141682948128,2
9,53,21.148850169419596,17,0.781213234429025,1.2045454545454546,0.38636363636363635,0,6.0,47,0.125,1.6285032601868143,6
10,52,16.237238339714487,16,0.9309493362512627,1.1818181818181819,0.36363636363636365,4,8.0,44,0.17777777777777778,1.768230493616871,6
11,26,19.723362646922908,8,0.8864052604279183,0.5909090909090909,0.18181818181818182,25,0.0,26,0.0,1.7540041277179665,6
12,14,25.747208957393315,5,0.8366600265340756,0.3181818181818182,0.11363636363636363,22,0.0,14,0.0,1.2730283365896256,4
13,13,14.920017173155127,5,0.8944271909999159,0.29545454545454547,0.11363636363636363,38,0.0,13,0.0,1.0397207708399179,3
14,12,14.46034863763657,4,0.816496580927726,0.2727272727272727,0.09090909090909091,28,0.0,12,0.0,1.7328679513998633,6
15,12,22.774977347842498,3,0.0,0.2727272727272727,0.06818181818181818,34,0.0,12,0.0,1.464816384890813,5
16,61,21.419763383875537,21,0.8890872794479688,1.3863636363636365,0.4772727272727273,4,10.0,51,0.19230769230769232,1.6966377874362912,6
17,31,21.385620949474752,11,0.7507571935295483,0.7045454545454546,0.25,18,0.0,31,0.0,1.664668851692453,6
18,30,26.97358100143441,11,0.7862453931068965,0.6818181818181818,0.25,24,0.0,30,0.0,1.6035681031705153,6
19,6,25.18888669547819,2,0.0,0.13636363636363635,0.045454545454545456,35,0.0,6,0.0,1.3862943611198906,4
20,24,17.24958194945845,8,0.7559289460184544,0.5454545454545454,0.18181818181818182,26,0.0,24,0.0,1.700164942414579,6
21,21,19.618205288615275,7,0.816496580927726,0.4772727272727273,0.1590909090909091,33,0.0,21,0.0,1.5367224694372192,6
22,68,21.314285617158884,23,0.7057079533454471,1.5454545454545454,0.5227272727272727,0,22.0,46,0.46808510638297873,1.7329005161423197,6
23,27,20.68087935376571,10,0.6749485577105528,0.6136363636363636,0.22727272727272727,22,0.0,27,0.0,1.5643701028927681,5
24,26,11.965972835606102,9,0.9279607271383371,0.5909090909090909,0.20454545454545456,22,0.0,26,0.0,1.6259287080415386,6
25,86,19.6315888570947,31,0.762000762001143,1.9545454545454546,0.7045454545454546,0,18.0,68,0.2608695652173913,1.7085960202554102,6
26,10,23.582782224719352,4,1.0,0.22727272727272727,0.09090909090909091,27,0.0,10,0.0,1.5607104090414063,5
27,10,28.94665789425407,3,0.5773502691896257,0.22727272727272727,0.06818181818181818,37,0.0,10,0.0,1.277034259466139,4
28,32,15.365484877157455,11,0.8312094145936336,0.7272727272727273,0.25,0,6.0,26,0.2222222222222222,1.594981797390107,6
29,52,19.775504120422994,17,0.8269362305593853,1.1818181818181819,0.38636363636363635,0,2.0,50,0.0392156862745098,1.7759705000412178,6
30,11,20.342364636340218,4,0.9574271077563381,0.25,0.09090909090909091,7,3.0,8,0.3333333333333333,0.9556998911125343,3
